1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
848,0.0,1.0,3,662,0,186,420,-1,2004.0,848,0,4426,69.0,169.0,0,5,6,848,2004,2004,143000
672,0.0,2.0,0,0,2,672,240,1,1940.0,672,1,10200,60.0,0.0,0,8,5,672,1940,1997,108000
1188,1152.0,4.0,0,275,0,877,252,0,1941.0,2340,0,9042,66.0,0.0,60,9,7,1152,1941,2006,266500
808,704.0,3.0,0,0,2,660,180,1,1916.0,1656,1,10410,60.0,0.0,0,7,5,660,1916,1987,135000
725,754.0,4.0,0,626,1,99,484,2,1972.0,1479,0,7472,69.0,138.0,32,9,7,725,1972,2004,184000
1226,0.0,3.0,0,0,2,1226,740,0,2009.0,1226,0,10402,94.0,0.0,36,5,7,1226,2009,2009,198900
976,1111.0,5.0,1,568,5,264,444,2,1966.0,2087,0,12205,69.0,157.0,168,8,6,832,1966,2007,187500
1158,0.0,3.0,0,941,1,217,576,1,2006.0,1158,0,13072,63.0,0.0,50,5,6,1158,2004,2004,158000
1154,0.0,3.0,2,740,4,184,480,0,1966.0,1154,1,11000,69.0,200.0,58,6,5,1154,1966,1966,154000
880,844.0,3.0,3,0,2,880,527,2,1998.0,1724,0,8924,57.0,0.0,155,5,7,880,1998,1999,188000
773,885.0,3.0,0,219,0,554,431,2,1995.0,1658,1,8000,69.0,0.0,84,5,6,773,1995,1996,188000
1126,0.0,2.0,-1,0,-1,0,520,2,2002.0,1126,0,8777,67.0,0.0,96,5,4,0,1949,2003,108000
872,521.0,3.0,0,0,2,816,300,1,1955.0,1393,1,16466,59.0,0.0,0,7,5,816,1955,1955,135500
1968,1479.0,4.0,2,192,3,536,1014,-1,1982.0,3447,0,14100,69.0,632.0,12,9,8,728,1935,1997,381000
483,504.0,2.0,0,309,4,174,264,1,1973.0,987,1,1953,21.0,408.0,0,5,6,483,1973,1973,83000
808,547.0,4.0,0,351,1,112,0,-1,1979.0,1355,1,10106,62.0,0.0,0,7,5,644,1940,1999,127500
2069,0.0,4.0,1,425,0,160,505,0,1960.0,2069,0,27650,313.0,0.0,0,7,7,585,1960,2007,242000
757,0.0,3.0,0,549,1,195,440,1,1999.0,1501,1,2280,24.0,360.0,0,5,7,744,1999,1999,179400
1976,0.0,2.0,1,1350,-1,626,908,0,2006.0,1976,0,14977,110.0,304.0,63,5,8,1976,2006,2007,440000
1563,0.0,3.0,0,33,0,1530,758,0,2007.0,1563,0,10206,78.0,468.0,99,5,8,1563,2007,2007,245000
572,539.0,2.0,0,0,2,572,288,1,1982.0,1111,1,5700,69.0,0.0,0,7,7,572,1926,1950,116900
851,651.0,3.0,0,0,2,776,270,0,1931.0,1502,1,7200,60.0,0.0,0,6,7,776,1931,2000,149000
1733,0.0,4.0,-1,0,-1,0,452,1,1955.0,1733,1,13680,69.0,0.0,0,5,3,0,1955,1955,139600
1848,880.0,4.0,0,1410,0,438,706,2,2006.0,2728,2,20431,56.0,870.0,0,5,9,1848,2005,2006,437154
630,672.0,3.0,0,231,1,399,264,1,1972.0,1302,1,1680,21.0,268.0,0,7,5,630,1972,1972,119500
1332,192.0,0.0,1,1258,0,74,586,2,1979.0,1524,0,23595,69.0,0.0,0,6,7,1332,1979,1979,260000
